path,kind,token,count
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,cold_paper,1
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,flag,1
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,keyword_rule,1
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,news,1
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,paper,2
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,rating,1
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,user,1
deploy/k8s/middleware/init/mysql-init.yaml,legacy_table_sql,user_achievement,1
model/flagmodel.go,legacy_table_sql,flag,12
model/flagmodel_admin.go,legacy_table_sql,flag,6
model/keywordrulemodel.go,legacy_table_sql,keyword_rule,8
model/migrations/002_governance_modules.sql,legacy_table_sql,flag,1
model/migrations/002_governance_modules.sql,legacy_table_sql,paper,2
model/migrations/002_governance_modules.sql,legacy_table_sql,rating,2
model/migrations/002_governance_modules.sql,legacy_table_sql,user,2
model/migrations/003_cold_hot_separation.sql,legacy_table_sql,cold_paper,1
model/migrations/003_cold_hot_separation.sql,legacy_table_sql,paper,2
model/migrations/004_split_biz_admin_rbac.sql,legacy_schema,journal_admin,4
model/migrations/004_split_biz_admin_rbac.sql,legacy_schema,journal_biz,16
model/migrations/004_split_biz_admin_rbac.sql,legacy_table_sql,cold_paper,2
model/migrations/004_split_biz_admin_rbac.sql,legacy_table_sql,flag,2
model/migrations/004_split_biz_admin_rbac.sql,legacy_table_sql,news,2
model/migrations/004_split_biz_admin_rbac.sql,legacy_table_sql,paper,3
model/migrations/004_split_biz_admin_rbac.sql,legacy_table_sql,rating,2
model/migrations/004_split_biz_admin_rbac.sql,legacy_table_sql,user,3
model/migrations/005_keyword_rules_hot_reload.sql,legacy_schema,journal_admin,1
model/migrations/005_keyword_rules_hot_reload.sql,legacy_schema,journal_biz,1
model/migrations/005_keyword_rules_hot_reload.sql,legacy_table_sql,keyword_rule,3
model/migrations/006_paper_simhash_detection.sql,legacy_table_sql,cold_paper,2
model/migrations/006_paper_simhash_detection.sql,legacy_table_sql,paper,2
model/migrations/007_rating_request_fingerprint.sql,legacy_schema,journal_biz,1
model/migrations/007_rating_request_fingerprint.sql,legacy_table_sql,rating,2
model/migrations/008_user_achievements.sql,legacy_schema,journal_biz,1
model/migrations/008_user_achievements.sql,legacy_table_sql,paper,4
model/migrations/008_user_achievements.sql,legacy_table_sql,rating,2
model/migrations/008_user_achievements.sql,legacy_table_sql,user_achievement,7
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_schema,journal_admin,11
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_schema,journal_biz,17
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,cold_paper,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,flag,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,keyword_rule,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,news,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,paper,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,rating,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,user,3
model/migrations/009_merge_split_dbs_into_single_journal.sql,legacy_table_sql,user_achievement,3
model/newsmodel.go,legacy_table_sql,news,8
model/papermodel.go,legacy_table_sql,cold_paper,2
model/papermodel.go,legacy_table_sql,paper,49
model/papermodel_admin.go,legacy_table_sql,paper,8
model/ratingmodel.go,legacy_table_sql,rating,32
model/ratingmodel.go,legacy_table_sql,user,4
model/schema.sql,legacy_table_sql,cold_paper,1
model/schema.sql,legacy_table_sql,flag,1
model/schema.sql,legacy_table_sql,keyword_rule,1
model/schema.sql,legacy_table_sql,news,1
model/schema.sql,legacy_table_sql,paper,1
model/schema.sql,legacy_table_sql,rating,1
model/schema.sql,legacy_table_sql,user,1
model/schema.sql,legacy_table_sql,user_achievement,1
model/userachievementmodel.go,legacy_table_sql,user_achievement,4
model/usermodel.go,legacy_table_sql,user,28
model/usermodel_admin.go,legacy_table_sql,user,8
rpc/rating/internal/eventing/postrate.go,legacy_table_sql,paper,1
